hostname,default_flag,sy_snum,pl_orbsmax,pl_rade,pl_insol,st_refname,st_spectype,st_met,st_metratio,sy_refname,rastr,ra,decstr,dec,sy_kmag,sy_gaiamag,rowupdate
11 Com,1,2,1.178,,,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,G8 III,-0.26,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,2.282,4.44038,9/19/2023
11 UMi,1,1,1.53,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,-0.02,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,1.939,4.56216,9/4/2018
14 And,1,1,0.775,,,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,K0 III,-0.21,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h31m17.80s,352.82415,+39d14m09.01s,39.2358367,2.331,4.91781,9/19/2023
14 Her,1,1,2.839,,,<a refstr=BARDALEZ_GAGLIUFFI_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJ...988L..18B/abstract target=ref>Bardalez Gagliuffi et al. 2025</a>,K0,0.43,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,4.714,6.383,3/26/2026
16 Cyg B,1,3,1.66,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,0.06,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,4.651,6.06428,9/4/2018
17 Sco,1,1,1.45,,,<a refstr=TALA_PINTO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...644A...1T/abstract target=ref>Tala Pinto et al. 2020</a>,K3 III,-0.01,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905,2.094,4.75429,10/25/2021
18 Del,1,2,2.476,,,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,G6 III,-0.06,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,3.366,5.27476,9/19/2023
1RXS J160929.1-210524,1,1,330,,,<a refstr=LACHAPELLE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...802...61L/abstract target=ref>Lachapelle et al. 2015</a>,K7 V,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,8.916,12.0572,4/1/2015
24 Boo,1,1,0.194,,,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,G3 IV,-0.78,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,3.159,5.3339,9/19/2023
24 Sex,1,1,1.333,,,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,,-0.03,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,4.285,6.20374,5/14/2014
24 Sex,1,1,2.08,,,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,,-0.03,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,4.285,6.20374,5/14/2014
2MASS J04372171+2651014,1,1,118,,,<a refstr=GAIDOS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2819G/abstract target=ref>Gaidos et al. 2021</a>,M V,0.01,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h37m21.73s,69.3405531,+26d51m01.08s,26.8502997,10.386,14.3374,12/13/2021
2MASS J01033563-5515561 A,1,2,84,,,<a refstr=DELORME_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A&A...553L...5D/abstract target=ref>Delorme et al. 2013</a>,M5.5/M6,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h03m35.82s,15.8992489,-55d15m56.98s,-55.2658291,9.237001,,9/8/2020
2MASS J01225093-2439505,1,1,52,,,<a refstr=BOWLER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...55B/abstract target=ref> Bowler et al. 2013 </a>,M3.5 V,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128,9.198,12.9025,5/14/2014
2MASS J02192210-3925225,1,1,156,16.14096,,<a refstr=ARTIGAU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...806..254A/abstract target=ref>Artigau et al. 2015</a>,M6,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h19m22.25s,34.8427046,-39d25m23.08s,-39.4230767,10.404,15.0123,5/14/2015
2MASS J0249-0557 A,1,2,1950,,,<a refstr=DUPUY_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...57D/abstract target=ref>Dupuy et al. 2018</a>,M6 V,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h49m56.44s,42.4851627,-05d57m35.97s,-5.9599921,11.055,15.6894,5/13/2024
2MASS J03590986+2009361,1,1,572,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h59m09.86s,59.7911026,+20d09m35.91s,20.1599759,12.533,16.9967,5/8/2024
2MASS J04414489+2301513,1,1,15,,,<a refstr=TODOROV_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...714L..84T/abstract target=ref> Todorov et al. 2010 </a>,M8.5,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h41m44.91s,70.4371079,+23d01m51.08s,23.0308544,13.161,18.9668,5/14/2014
2MASS J11011926-7732383,1,1,266,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h01m19.09s,165.3295388,-77d32m38.73s,-77.5440912,11.632,18.3299,5/8/2024
2MASS J11550485-7919108,1,1,587,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h55m04.60s,178.7691634,-79d19m11.12s,-79.3197558,10.079,14.818,5/7/2024
2MASS J12073346-3932539,1,1,,15.69257298,,<a refstr=ZHANG_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170...64Z/abstract target=ref>Zhang et al. 2025</a>,M8,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,11.945,17.4076,3/19/2026
2MASS J19383260+4603591,1,2,,,,<a refstr=ESMER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.5207E/abstract target=ref>Esmer et al. 2022</a>,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,12.955,12.1376,4/19/2022
2MASS J21252752-8138278,1,1,7493,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h25m27.91s,321.3662989,-81d38m29.36s,-81.6414894,7.341,10.8133,5/7/2024
2MASS J22362452+4751425,1,1,230,,,<a refstr=BOWLER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...18B/abstract target=ref>Bowler et al. 2017</a>,K7 V,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h36m24.62s,339.1025931,+47d51m42.06s,47.861683,9.148,11.9484,11/9/2016
2MASS J22501512+2325342,1,1,518,,,<a refstr=DESROCHERS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...852...55D/abstract target=ref>Desrochers et al. 2018</a>,M3,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h50m15.22s,342.5634097,+23d25m33.26s,23.4259058,9.833,13.5759,12/4/2025
4 UMa,1,1,0.877,,,<a refstr=DOLLINGER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...472..649D/abstract target=ref> Dollinger et al. 2007 </a>,K1 III,-0.25,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504,1.734,4.23773,9/19/2023
47 UMa,1,1,2.1,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,0.04,[M/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,3.75,4.87837,5/14/2014
47 UMa,1,1,3.6,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,0.04,[M/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,3.75,4.87837,5/14/2014
47 UMa,1,1,11.6,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,0.04,[M/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,3.75,4.87837,5/14/2014
51 Eri,1,3,10.4,,,<a refstr=DUPUY_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.4411D/abstract target=ref>Dupuy et al. 2022</a>,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,4.537,5.15806,9/25/2025
51 Peg,1,1,0.0527,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,0.18,[M/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,3.911,5.28647,5/14/2014
55 Cnc B,1,2,0.044,,,<a refstr=MOUTOU_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv251011523M/abstract target=ref>Moutou et al. 2025</a>,M4.5 V,0.16,[M/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m40.30s,133.167908,+28d18m55.03s,28.3152863,7.666,11.6798,10/30/2025
55 Cnc B,1,2,0.13,,,<a refstr=MOUTOU_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv251011523M/abstract target=ref>Moutou et al. 2025</a>,M4.5 V,0.16,[M/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m40.30s,133.167908,+28d18m55.03s,28.3152863,7.666,11.6798,10/30/2025
55 Cnc,1,2,0.118,,,<a refstr=MOUTOU_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv251011523M/abstract target=ref>Moutou et al. 2025</a>,G8 V,0.39,[M/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,4.015,5.72973,10/30/2025
55 Cnc,1,2,0.247,,,<a refstr=MOUTOU_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv251011523M/abstract target=ref>Moutou et al. 2025</a>,G8 V,0.39,[M/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,4.015,5.72973,10/30/2025
55 Cnc,1,2,5.6,,,<a refstr=MOUTOU_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv251011523M/abstract target=ref>Moutou et al. 2025</a>,G8 V,0.39,[M/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,4.015,5.72973,10/30/2025
55 Cnc,1,2,0.01544,1.875,,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,0.35,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,4.015,5.72973,2/5/2021
55 Cnc,1,2,0.802,,,<a refstr=MOUTOU_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv251011523M/abstract target=ref>Moutou et al. 2025</a>,G8 V,0.39,[M/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,4.015,5.72973,10/30/2025
6 Lyn,1,1,2.028,,,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,K0 IV,-0.17,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h30m47.05s,97.6960311,+58d09m40.23s,58.1611753,3.701,5.60686,9/19/2023
61 Vir,1,1,0.050201,,,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,G5 V,-0.01,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,2.956,4.54052,5/14/2014
61 Vir,1,1,0.2175,,,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,G5 V,-0.01,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,2.956,4.54052,5/14/2014
61 Vir,1,1,0.476,,,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,G5 V,-0.01,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,2.956,4.54052,5/14/2014
7 CMa,1,1,1.758,,,<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...631A.136L/abstract target=ref>Luque et al. 2019</a>,,0.21,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h36m41.11s,99.171276,-19d15m22.25s,-19.2561808,1.564,3.67853,10/18/2019
7 CMa,1,1,2.153,,,<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...631A.136L/abstract target=ref>Luque et al. 2019</a>,,0.21,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h36m41.11s,99.171276,-19d15m22.25s,-19.2561808,1.564,3.67853,10/18/2019
70 Vir,1,1,0.481,,,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h28m25.56s,202.1064898,+13d46m34.71s,13.7763085,3.5,4.76178,12/3/2018
75 Cet,1,2,1.912,,,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,G3 III,0.1,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,3.207,5.09343,9/19/2023
75 Cet,1,2,3.929,,,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,G3 III,0.1,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,3.207,5.09343,9/19/2023
8 UMi,1,1,0.462,,,<a refstr=HON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023Natur.618..917H/abstract target=ref>Hon et al. 2023</a>,,-0.03,[m/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h56m48.40s,224.201685,+74d54m03.38s,74.9009379,4.515,6.55896,12/4/2025
81 Cet,1,1,2.104,,,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,G5 III,-0.11,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h37m41.85s,39.4243555,-03d23m46.90s,-3.3963607,3.266,5.37588,9/19/2023
91 Aqr,1,3,0.7,,,<a refstr=MITCHELL_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A..87M/abstract target=ref> Mitchell et al. 2013 </a>,K0 III,-0.03,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h15m53.88s,348.9745031,-09d05m16.11s,-9.0878076,1.597,3.95311,5/14/2014
AB Aur,1,1,93.9,,,<a refstr=CURRIE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022NatAs.tmp...76C/abstract target=ref>Currie et al. 2022</a>,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h55m45.85s,73.9410446,+30d33m03.92s,30.5510888,4.23,7.07854,4/12/2022
AB Pic,1,1,260,,,<a refstr=CHAUVIN_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005A&A...438L..29C/abstract target=ref> Chauvin et al. 2005 </a>,K2 V,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h19m12.94s,94.8039208,-58d03m14.83s,-58.0541184,6.981,8.8378,5/14/2014
AF Lep,1,1,8.996,,,<a refstr=DENIS_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...696A...6D/abstract target=ref>Denis et al. 2025</a>,F8,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h27m04.78s,81.7699216,-11d54m04.23s,-11.9011752,4.926,6.18644,11/20/2025
AT2021ueyL,1,1,4.01,,,<a refstr=BAN_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250322331B/abstract target=ref>Ban et al. 2025</a>,M V,,,<a refstr=BAN_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250322331B/abstract target=ref>Ban et al. 2025</a>,21h38m10.81s,324.5450417,+26d27m59.65s,26.4665694,,,5/7/2025
AU Mic,1,1,0.07,4.79,,<a refstr=MALLORQUIN_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...689A.132M/abstract target=ref>Mallorqu&iacute;n et al. 2024</a>,M1 V,0.01,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,4.529,7.84038,3/5/2026
AU Mic,1,1,0.119,2.79,,<a refstr=MALLORQUIN_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...689A.132M/abstract target=ref>Mallorqu&iacute;n et al. 2024</a>,M1 V,0.01,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,4.529,7.84038,3/5/2026
AU Mic,1,1,,,,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,,0.23,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,4.529,7.84038,10/3/2024
AU Mic,1,1,,,,<a refstr=DONATI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.525..455D/abstract target=ref>Donati et al. 2023</a>,,0.12,[M/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,4.529,7.84038,10/2/2025
BD+03 2562,1,1,1.3,,,<a refstr=VILLAVER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...606A..38V/abstract target=ref>Villaver et al. 2017</a>,,-0.71,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h50m15.53s,177.5647268,+02d45m36.39s,2.7601075,6.021,8.9977,6/13/2017
BD+05 4868 A,1,2,0.0208,,,<a refstr=HON_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250105431H/abstract target=ref>Hon et al. 2025</a>,K V,-0.05,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h47m26.74s,326.8614036,+06d36m19.15s,6.6053185,7.448,9.84152,3/21/2025
BD+14 4559,1,1,0.78,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,0.17,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h13m36.24s,318.4010002,+14d41m21.78s,14.6893834,7.336,9.35108,9/4/2018
BD+15 2375,1,1,0.576,,,<a refstr=NIEDZIELSKI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...588A..62N/abstract target=ref>Niedzielski et al. 2016</a>,,-0.22,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h45m55.69s,176.4820239,+14d36m58.75s,14.6163182,7.718,9.9918,2/3/2016
BD+15 2940,1,1,0.539,,,<a refstr=NOWAK_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...770...53N/abstract target=ref> Nowak et al. 2013 </a>,K0,0.28,[Fe/H],<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h00m22.95s,240.09564,+15d32m48.30s,15.5467507,6.525,8.7178,5/14/2014
